# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cycles:P'
# Event count (approx.): 62066647788
#
# Overhead  Command  Shared Object                                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] hrtimer_try_to_cancel.part.0
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] chacha_permute
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] dm_io_acct
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] copy_from_kernel_nofault_allowed
     0.00%  duckdb   duckdb                                                             [.] duckdb::BufferPoolReservation::~BufferPoolReservation()
     0.00%  duckdb   duckdb                                                             [.] duckdb::BaseStatistics::CanHaveNull() const
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] update_other_load_avgs
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] iommu_dma_unmap_sg
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __switch_to_asm
     0.00%  duckdb   duckdb                                                             [.] tolower@plt
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] local_clock
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] irqentry_enter_from_user_mode
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] blk_account_io_done.part.0
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] sbitmap_queue_clear_batch
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] ath11k_pcic_ext_interrupt_handler
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] free_iova_fast
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] dma_unmap_page_attrs
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] ttwu_queue_wakelist
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] probe_sched_wakeup
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] mem_cgroup_handle_over_high
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] sched_core_idle_cpu
     0.00%  duckdb   duckdb                                                             [.] duckdb::ExpressionExecutor::SelectExpression(duckdb::DataChunk&, duckdb::optional_ptr<duckdb::SelectionVector, true>, duckdb::optional_ptr<duckdb::SelectionVector, true>, duckdb::optional_ptr<duckdb::SelectionVector, true>, unsigned long)
     0.00%  duckdb   duckdb                                                             [.] duckdb::BufferPoolReservation::BufferPoolReservation(duckdb::BufferPoolReservation&&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] perf_ctx_disable
     0.00%  duckdb   duckdb                                                             [.] duckdb_moodycamel::ConcurrentQueue<duckdb::BufferEvictionNode, duckdb_moodycamel::ConcurrentQueueDefaultTraits>::ImplicitProducer::~ImplicitProducer()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] may_expand_vm
     0.00%  duckdb   duckdb                                                             [.] duckdb::DatabaseInstance::GetBufferManager()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] auditd_test_task
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::SetPartitionIndex(unsigned long)
     0.00%  duckdb   duckdb                                                             [.] unsigned long duckdb::AggregateFunction::StateSize<long>(duckdb::AggregateFunction const&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] iommu_v1_iova_to_phys
     0.00%  duckdb   duckdb                                                             [.] duckdb::ConstantInitScan(duckdb::ColumnSegment&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] perf_event_mmap
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_emap_register_boundary
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] vma_prepare
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] vma_set_page_prot
     0.00%  duckdb   duckdb                                                             [.] duckdb::ArenaAllocator::~ArenaAllocator()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] mas_destroy
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] entry_SYSCALL_64_after_hwframe
     0.00%  duckdb   duckdb                                                             [.] duckdb::Allocator::DefaultAllocate(duckdb::PrivateAllocatorData*, unsigned long)
     0.00%  duckdb   libstdc++.so.6.0.33                                                [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
     0.00%  duckdb   ld-linux-x86-64.so.2                                               [.] _dl_relocate_object
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] tlb_gather_mmu
     0.00%  duckdb   duckdb                                                             [.] void std::vector<duckdb::unique_ptr<duckdb::TupleDataSegment, std::default_delete<duckdb::TupleDataSegment>, false>, std::allocator<duckdb::unique_ptr<duckdb::TupleDataSegment, std::default_delete<duckdb::TupleDataSegment>, false> > >::_M_realloc_insert<duckdb::unique_ptr<duckdb::TupleDataSegment, std::default_delete<duckdb::TupleDataSegment>, false> >(__gnu_cxx::__normal_iterator<duckdb::unique_ptr<duckdb::TupleDataSegment, std::default_delete<duckdb::TupleDataSegment>, false>*, std::vector<duckdb::unique_ptr<duckdb::TupleDataSegment, std::default_delete<duckdb::TupleDataSegment>, false>, std::allocator<duckdb::unique_ptr<duckdb::TupleDataSegment, std::default_delete<duckdb::TupleDataSegment>, false> > > >, duckdb::unique_ptr<duckdb::TupleDataSegment, std::default_delete<duckdb::TupleDataSegment>, false>&&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::StandardBufferManager::GetBufferAllocator()
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_malloc_mutex_lock_slow
     0.00%  duckdb   ld-linux-x86-64.so.2                                               [.] openaux
     0.00%  duckdb   duckdb                                                             [.] duckdb::ExpressionIterator::EnumerateChildren(duckdb::Expression&, std::function<void (duckdb::unique_ptr<duckdb::Expression, std::default_delete<duckdb::Expression>, true>&)> const&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] hugepage_pmd_enabled
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] down_write_killable
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] wake_up_q
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] _find_next_bit
     0.00%  duckdb   duckdb                                                             [.] duckdb::ColumnSegment::ColumnSegment(duckdb::DatabaseInstance&, duckdb::shared_ptr<duckdb::BlockHandle, true>, duckdb::LogicalType const&, duckdb::ColumnSegmentType, unsigned long, unsigned long, duckdb::CompressionFunction&, duckdb::BaseStatistics, long, unsigned long, unsigned long, duckdb::unique_ptr<duckdb::ColumnSegmentState, std::default_delete<duckdb::ColumnSegmentState>, true>)
